Date,Subway_Total
2020-03-01,2214601
2020-03-02,5347055
2020-03-03,5498556
2020-03-04,5515945
2020-03-05,5513656
2020-03-06,5204732
2020-03-07,2817082
2020-03-08,2122328
2020-03-09,4989635
2020-03-10,4883623
2020-03-11,4712462
2020-03-12,4163674
2020-03-13,3496765
2020-03-14,1672800
2020-03-15,1159079
2020-03-16,2184296
2020-03-17,1793359
2020-03-18,1629413
2020-03-19,1425564
2020-03-20,1312249
2020-03-21,620662
2020-03-22,409364
2020-03-23,711138
2020-03-24,743314
2020-03-25,691604
2020-03-26,681923
2020-03-27,658312
2020-03-28,332993
2020-03-29,264119
2020-03-30,546355
2020-03-31,509149
